,NT = 1 and F = 1,NT = 1 and F = 2,NT = 1 and F = 3,NT = 1 and F = run_if,NT = 10 and F = 1,NT = 10 and F = 2,NT = 10 and F = 3,NT = 10 and F = run_if,NT = 25 and F = 1,NT = 25 and F = 2,NT = 25 and F = 3,NT = 25 and F = run_if,NT = 50 and F = 1,NT = 50 and F = 2,NT = 50 and F = 3,NT = 50 and F = run_if,NT = 75 and F = 1,NT = 75 and F = 2,NT = 75 and F = 3,NT = 75 and F = run_if,NT = 100 and F = 1,NT = 100 and F = 2,NT = 100 and F = 3,NT = 100 and F = run_if
Attribute_0,0.0,0.5081967213114754,0.4186046511627907,0.48,0.17966101694915254,0.23809523809523808,0.3203342618384401,0.2123456790123457,0.11183007455338304,0.15032906130931764,0.24798387096774194,0.48,0.12569169960474308,0.22768562401263823,0.2945626477541371,0.19393218322427128,0.09330564709068749,0.20087105714662795,0.263768115942029,0.2548575129533679,0.1172566371681416,0.21198112298950206,0.22954905959664626,0.13849168904696232
Attribute_1,0.0,0.4918032786885246,0.0,0.16,0.2734463276836158,0.4107142857142857,0.2646239554317549,0.362962962962963,0.2382894921929948,0.200554208520956,0.3014112903225806,0.16,0.24347826086956523,0.23696682464454977,0.28132387706855794,0.2944675788221297,0.2184805669660994,0.262109014121684,0.29887278582930754,0.30408031088082904,0.14601769911504425,0.22190118462872002,0.32064355313845455,0.27226536981926397
Attribute_2,0.0,0.0,0.2558139534883721,0.24,0.24858757062146894,0.20476190476190476,0.22284122562674094,0.2123456790123457,0.3713602475734984,0.34430204364392103,0.22983870967741934,0.24,0.4031620553359684,0.2462480252764613,0.17588652482269504,0.2314098750743605,0.31282444815600596,0.27623069816550083,0.20096618357487922,0.20790155440414507,0.29867256637168144,0.2910526822690937,0.19759800589168366,0.2874355810408652
Attribute_3,1.0,0.0,0.32558139534883723,0.12,0.2983050847457627,0.14642857142857144,0.19220055710306408,0.2123456790123457,0.27852018568012377,0.30481468652580535,0.22076612903225806,0.12,0.2276679841897233,0.2890995260663507,0.24822695035460993,0.28019036287923854,0.3753893377872072,0.26078923056618714,0.23639291465378423,0.23316062176165803,0.43805309734513276,0.2750650101126842,0.2522093813732155,0.3018073600929085
