,NT = 1 and F = 1,NT = 1 and F = 2,NT = 1 and F = 3,NT = 10 and F = 1,NT = 10 and F = 2,NT = 10 and F = 3,NT = 25 and F = 1,NT = 25 and F = 2,NT = 25 and F = 3,NT = 50 and F = 1,NT = 50 and F = 2,NT = 50 and F = 3,NT = 75 and F = 1,NT = 75 and F = 2,NT = 75 and F = 3,NT = 100 and F = 1,NT = 100 and F = 2,NT = 100 and F = 3
Attribute_0,0.32786885245901637,0.36363636363636365,0.3333333333333333,0.23393316195372751,0.3192488262910798,0.35359116022099446,0.25841476655808904,0.3339317773788151,0.35330578512396693,0.24642464246424642,0.3167649536647009,0.3747474747474748,0.25312934631432543,0.3289170506912442,0.3642806520198441,0.24458459007403346,0.3108048021342819,0.3571036752605595
Attribute_1,0.19672131147540983,0.2727272727272727,0.2222222222222222,0.2570694087403599,0.28169014084507044,0.2983425414364641,0.24321389793702497,0.26750448833034113,0.2665289256198347,0.2563256325632563,0.2687447346251053,0.2404040404040404,0.25938803894297635,0.2586405529953917,0.2579730687455705,0.253907321085824,0.26900844819919967,0.2786615469007131
Attribute_2,0.19672131147540983,0.22727272727272727,0.3333333333333333,0.2544987146529563,0.27699530516431925,0.26519337016574585,0.24538545059717698,0.25673249551166966,0.2871900826446281,0.24642464246424642,0.2662173546756529,0.27070707070707073,0.24200278164116829,0.27131336405529954,0.27072997873848337,0.24129421442281326,0.27212094264117387,0.2786615469007131
Attribute_3,0.2786885245901639,0.13636363636363635,0.1111111111111111,0.2544987146529563,0.12206572769953052,0.08287292817679558,0.252985884907709,0.14183123877917414,0.09297520661157024,0.2508250825082508,0.14827295703454085,0.11414141414141414,0.2454798331015299,0.14112903225806453,0.10701630049610206,0.2602138744173293,0.1480658070253446,0.08557323093801426
