,NT = 1 and F = 1,NT = 1 and F = 2,NT = 1 and F = 3,NT = 1 and F = run_if,NT = 10 and F = 1,NT = 10 and F = 2,NT = 10 and F = 3,NT = 10 and F = run_if,NT = 25 and F = 1,NT = 25 and F = 2,NT = 25 and F = 3,NT = 25 and F = run_if,NT = 50 and F = 1,NT = 50 and F = 2,NT = 50 and F = 3,NT = 50 and F = run_if,NT = 75 and F = 1,NT = 75 and F = 2,NT = 75 and F = 3,NT = 75 and F = run_if,NT = 100 and F = 1,NT = 100 and F = 2,NT = 100 and F = 3,NT = 100 and F = run_if
Attribute_0,0.0,0.0,0.3076923076923077,0.45,0.38095238095238093,0.11486486486486487,0.2421875,0.26666666666666666,0.2119205298013245,0.26044226044226043,0.1793103448275862,0.1111111111111111,0.29510395707578807,0.145,0.20741989881956155,0.1111111111111111,0.2562929061784897,0.24186046511627907,0.18463302752293578,0.1111111111111111,0.22000687521485046,0.2197112366603892,0.19392917369308602,0.2536528345996493
Attribute_1,0.0,0.0,0.38461538461538464,0.0,0.06666666666666667,0.23648648648648649,0.1171875,0.07,0.08344370860927153,0.20393120393120392,0.22758620689655173,0.4444444444444444,0.15492957746478872,0.1625,0.26981450252951095,0.4444444444444444,0.1826086956521739,0.2,0.2798165137614679,0.4444444444444444,0.16603643863870746,0.23477715003138733,0.2057335581787521,0.17533606078316774
Attribute_2,1.0,0.6470588235294118,0.0,0.0,0.09841269841269841,0.3108108108108108,0.2265625,0.10333333333333333,0.24635761589403973,0.21867321867321868,0.2206896551724138,0.1111111111111111,0.14553990610328638,0.2525,0.19224283305227655,0.1111111111111111,0.18443935926773455,0.32170542635658916,0.22706422018348624,0.1111111111111111,0.20247507734616707,0.22096672944130571,0.2487352445193929,0.21507890122735243
Attribute_3,0.0,0.35294117647058826,0.3076923076923077,0.55,0.17777777777777778,0.13513513513513514,0.1796875,0.56,0.07417218543046358,0.16953316953316952,0.21379310344827587,0.2222222222222222,0.11267605633802817,0.2525,0.18043844856661045,0.2222222222222222,0.23066361556064074,0.10852713178294573,0.1731651376146789,0.2222222222222222,0.20213131660364386,0.16446955430006277,0.17622259696458684,0.15078901227352426
Attribute_4,0.0,0.0,0.0,0.0,0.2761904761904762,0.20270270270270271,0.234375,0.0,0.3841059602649007,0.14742014742014742,0.15862068965517243,0.1111111111111111,0.2917505030181087,0.1875,0.15008431703204048,0.1111111111111111,0.1459954233409611,0.12790697674418605,0.1353211009174312,0.1111111111111111,0.20935029219663115,0.160075329566855,0.17537942664418213,0.20514319111630624
