,NT = 1 and F = 1,NT = 1 and F = 2,NT = 1 and F = 3,NT = 10 and F = 1,NT = 10 and F = 2,NT = 10 and F = 3,NT = 25 and F = 1,NT = 25 and F = 2,NT = 25 and F = 3,NT = 50 and F = 1,NT = 50 and F = 2,NT = 50 and F = 3,NT = 75 and F = 1,NT = 75 and F = 2,NT = 75 and F = 3,NT = 100 and F = 1,NT = 100 and F = 2,NT = 100 and F = 3
Attribute_0,0.2,0.0,0.4444444444444444,0.23148148148148148,0.1232876712328767,0.1506849315068493,0.23674911660777384,0.1724137931034483,0.12903225806451613,0.19402985074626866,0.13649025069637882,0.11585365853658537,0.17519181585677748,0.14590747330960854,0.13778705636743216,0.2087604846225536,0.14614343707713126,0.12558139534883722
Attribute_1,0.3,0.3333333333333333,0.1111111111111111,0.25925925925925924,0.273972602739726,0.3424657534246575,0.22614840989399293,0.27586206896551724,0.36129032258064514,0.20708955223880596,0.33147632311977715,0.36585365853658536,0.19437340153452684,0.29537366548042704,0.35490605427974947,0.19198508853681268,0.2963464140730717,0.3488372093023256
Attribute_2,0.1,0.3333333333333333,0.1111111111111111,0.2037037037037037,0.1917808219178082,0.2054794520547945,0.18021201413427562,0.20689655172413793,0.1935483870967742,0.208955223880597,0.18662952646239556,0.1951219512195122,0.2020460358056266,0.19750889679715303,0.17745302713987474,0.21621621621621623,0.20568335588633288,0.2062015503875969
Attribute_3,0.4,0.16666666666666666,0.2222222222222222,0.19444444444444445,0.1917808219178082,0.1095890410958904,0.16607773851590105,0.19704433497536947,0.14838709677419354,0.19402985074626866,0.1392757660167131,0.17682926829268292,0.2020460358056266,0.1797153024911032,0.1837160751565762,0.18546132339235788,0.15290933694181327,0.16279069767441862
Attribute_4,0.0,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.2191780821917808,0.1917808219178082,0.19081272084805653,0.1477832512315271,0.16774193548387098,0.1958955223880597,0.20612813370473537,0.14634146341463414,0.22634271099744246,0.18149466192170818,0.14613778705636743,0.19757688723205966,0.19891745602165087,0.15658914728682172
